,stop_name,stop_id,latitude,longitude,SEQ,GRUPO,SENTIDO,TIPO,ITINERARY_ID,line_id
13327,"Rua Vital Brasil, 363 - Portão",180598,"-25,463439297342","-49,295635850376",15,,São Jorge,Placa em cano,906,670
13328,"Rua Guilherme Pugsley, 750 - Água Verde",150868,"-25,452732667844","-49,284369231409",22,,Praça Rui Barbosa,Novo mobiliário,907,670
13329,"Rua Guilherme Pugsley, 2017 - Água Verde",150864,"-25,46404834297","-49,28949895615",18,,Praça Rui Barbosa,Novo mobiliário,907,670
13330,"Rua Desembargador Lauro Sodré Lopes, 33 - Portão",180712,"-25,473107381311","-49,310193539804",8,,Praça Rui Barbosa,Domus,907,670
13331,"Rua Vinte e Quatro de Maio, 280-350 - Centro",110022,"-25,439756734365","-49,273240017786",2,,São Jorge,Novo mobiliário,906,670
13332,"R. Carlos Klemtz, 148 - Fazendinha",180047,"-25,476992468525","-49,314395860119",27,,São Jorge,Novo mobiliário,906,670
13333,"Av. Iguaçu, 2083 - Água Verde",150632,"-25,446699628116","-49,281391979403",6,,São Jorge,Novo mobiliário,906,670
13334,"Av. Iguaçu, 2612 - Água Verde",150634,"-25,448942375096","-49,287531555838",8,,São Jorge,Novo mobiliário,906,670
13335,"Av. Iguaçu, 2436 - Água Verde",150633,"-25,447883978109","-49,284622700161",7,,São Jorge,Novo mobiliário,906,670
13336,"Rua Professor Elevir Dionysio, 440 - Fazendinha",180828,"-25,478887277229","-49,317391247696",29,,São Jorge,Sem demarcação,906,670
13337,"Rua Prof. Fábio de Souza, 2310 - Santa Quitéria",180694,"-25,473466968193","-49,304159910625",21,,São Jorge,Sem demarcação,906,670
13338,"Rua Bororós, 445 - Vila Izabel",180466,"-25,4582217205","-49,293468625492",12,,São Jorge,Chapéu chinês,906,670
13339,"R. Carlos Klemtz, 505 - Fazendinha",180048,"-25,477083679245","-49,314597201223",5,,Praça Rui Barbosa,Novo mobiliário,907,670
13340,"Av. Pres. Getúlio Vargas, 1309 - Rebouças",110211,"-25,445197981519","-49,272273809856",27,,Praça Rui Barbosa,Novo mobiliário,907,670
13341,"Av. Pres. Getúlio Vargas, 2676 - Água Verde",150635,"-25,449985020239","-49,284862757868",23,,Praça Rui Barbosa,Novo mobiliário,907,670
13342,"Rua Prof. Elevir Dionysio, 243 - Fazendinha",180827,"-25,47691628403","-49,316122562832",4,,Praça Rui Barbosa,Chapéu chinês,907,670
13343,"Rua Engenheiro Heitor Soares Gomes, 283 - Portão",180693,"-25,472395468758","-49,30243256802",12,,Praça Rui Barbosa,Chapéu chinês,907,670
13344,"Rua Vital Brasil, 374 - Portão",180630,"-25,463524055368","-49,295500398821",16,,Praça Rui Barbosa,Domus,907,670
13345,"Av. Pres. Getúlio Vargas, 2349 - Água Verde",150636,"-25,448776471378","-49,281718062548",24,,Praça Rui Barbosa,Novo mobiliário,907,670
13346,"Av. Iguaçu, 1438 - Rebouças",110209,"-25,444475004665","-49,275511236137",4,,São Jorge,Novo mobiliário,906,670
13347,"Rua Angelina Ançai, 2 - Fazendinha",180832,"-25,478803740704","-49,320808381981",31,,São Jorge,Domus,906,670
13348,"Rua Professor Elevir Dionysio, 242 - Fazendinha",180826,"-25,476922337499","-49,316248626656",28,,São Jorge,Placa em cano,906,670
13349,"Rua Alberto Klemtz, 225 - Portão",180708,"-25,473717588718","-49,307705790943",23,,São Jorge,Placa em cano,906,670
13350,"Rua Tamoios, 1061 - Vila Izabel",180631,"-25,463675408836","-49,297308207697",16,,São Jorge,Novo mobiliário,906,670
13351,"Rua Alberto Klemtz, 226 - Portão",180709,"-25,473820500376","-49,307784916109",9,,Praça Rui Barbosa,Domus,907,670
13352,"Rua Tabajaras, 1061 - Vila Izabel",180632,"-25,465019419285","-49,298745871729",15,,Praça Rui Barbosa,Chapéu chinês,907,670
13353,"Rua Tobias de Macedo Júnior, 1364 - Santo Inácio",190107,"-25,42699422392","-49,333204285879",35,,Terminal Campina do Siqueira,Domus,13293,817
13354,"Rua Capitão Domingos Castelano, 570 - Santo Inácio",190127,"-25,429631179766","-49,346151311674",25,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13355,"Av. Vereador Toaldo Túlio, 1062 - São Braz",190247,"-25,408017783418","-49,339948625511",12,,Terminal Campina do Siqueira,Novo mobiliário,13293,817
13356,Terminal Campina do Siqueira - 811 - Saturno,104503,"-25,435897343385","-49,307442749784",1,14506,Terminal Santa Felicidade,Plataforma,13294,817
13357,"Rua General Mário Tourinho, 5337 - Seminário",190001,"-25,433715041571","-49,310821517687",2,,Terminal Santa Felicidade,Novo mobiliário,13294,817
13358,"Rua Tobias de Macedo Júnior, 1365 - Santo Inácio",190108,"-25,42691","-49,33326",9,,Terminal Santa Felicidade,Placa em cano,13294,817
13359,"Rua Maria Guebur, 215 - Santo Inácio",190122,"-25,428103353939","-49,341754868717",17,,Terminal Santa Felicidade,Sem demarcação,13294,817
13360,"Rua Benjamin Cavet, 77 - São Braz",190134,"-25,423476764639","-49,347406647239",22,,Terminal Santa Felicidade,Placa em cano,13294,817
13361,"Rua Nicolau José Gravina, 1962 - Cascatinha",190329,"-25,41019825945","-49,323124469465",39,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13362,"Av. Vereador Toaldo Túlio, 1159 - Santa Felicidade",190248,"-25,407821538641","-49,338895858473",32,,Terminal Santa Felicidade,Novo mobiliário,13294,817
13363,"Rua Antônio Escorsin, 1185 - Santa Felicidade",190343,"-25,415824916867","-49,342355908102",28,,Terminal Santa Felicidade,Novo mobiliário,13294,817
13364,"Rua Tobias de Macedo Júnior, 763 - Santo Inácio",190101,"-25,427419658866","-49,327305743551",38,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13365,"Rua Capitão Domingos Castelano, 379 - Santo Inácio",190125,"-25,429227888266","-49,343921836805",26,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13366,"Rua Via Veneto, 505 - Santa Felicidade",190779,"-25,404544688258","-49,324918867296",3,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13367,"Rua João Azolin, 510 - Santa Felicidade",190784,"-25,411696708181","-49,328640432304",7,,Terminal Campina do Siqueira,Placa em poste,13293,817
13368,"Rua Antônio Escorsin, 1002 - Santa Felicidade",190340,"-25,414585742308","-49,339943261093",15,,Terminal Campina do Siqueira,Novo mobiliário,13293,817
13369,"Rua Tobias de Macedo Júnior, 74 - Santo Inácio",190013,"-25,429823106643","-49,322741720238",4,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13370,"Rua Tobias de Macedo Júnior, 1722 - Santo Inácio",190112,"-25,428428167723","-49,337281836805",11,,Terminal Santa Felicidade,Placa em poste,13294,817
13371,"Rua Julieta Zilioto, 431 - Santo Inácio",190118,"-25,42584","-49,34295",14,,Terminal Santa Felicidade,Placa em poste,13294,817
13372,"Rua Magdalena Chagas Lima, 515 - São Braz",190136,"-25,422141550224","-49,346333906746",23,,Terminal Santa Felicidade,Sem demarcação,13294,817
13373,"Rua José Risseto, 751 - Santa Felicidade",190336,"-25,409380585557","-49,335058958477",34,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13374,"Rua José Risseto, 1023 - Santa Felicidade",190337,"-25,408124385385","-49,337159128136",33,,Terminal Santa Felicidade,Sem demarcação,13294,817
13375,Terminal Campina do Siqueira - 811 - Saturno,104503,"-25,435897343385","-49,307442749784",44,14506,Terminal Campina do Siqueira,Plataforma,13293,817
13376,"Rua Engenheiro Serafim Voloschen, 224 - Campina do Siqueira",190011,"-25,43634","-49,31221",42,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13377,"Rua Tobias de Macedo Júnior, 1218 - Santo Inácio",190105,"-25,42708","-49,33163",36,,Terminal Campina do Siqueira,Domus,13293,817
13378,"Rua Luís Sperândio, 470 - Santo Inácio",190131,"-25,426226956851","-49,346256938658",23,,Terminal Campina do Siqueira,Domus,13293,817
13379,"Rua João Azolin, 274 - Santa Felicidade",190781,"-25,411248508006","-49,325618923849",6,,Terminal Campina do Siqueira,Placa em poste,13293,817
13380,"Rua José Risseto, 1020 - Santa Felicidade",190787,"-25,408039588373","-49,337165833658",11,,Terminal Campina do Siqueira,Placa em cano,13293,817
13381,"Rua Antônio Escorsin, 1184 - Santa Felicidade",190342,"-25,415562062721","-49,34218558783",16,,Terminal Campina do Siqueira,Novo mobiliário,13293,817
13382,"R. Alfredo Scorsin, 121 - São Braz",190993,"-25,420403685281","-49,344054900285",19,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13383,"Rua Tobias de Macedo Júnior, 897 - Santo Inácio",190104,"-25,42719","-49,32901",7,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13384,"Rua Tobias de Macedo Júnior, 1635 - Santo Inácio",190110,"-25,42701062087","-49,335865861273",10,,Terminal Santa Felicidade,Placa em cano,13294,817
13385,"Estrada da Miná do Ouro, 731 - Santo Inácio",190114,"-25,42589","-49,33861",12,,Terminal Santa Felicidade,Sem demarcação,13294,817
13386,"Rua Capitão Domingos Castelano, 571 - Santo Inácio",190128,"-25,429554254789","-49,346185860119",19,,Terminal Santa Felicidade,Placa em cano,13294,817
13387,"Rua Via Veneto, 222 - Santa Felicidade",190328,"-25,406722804273","-49,323305518574",40,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13388,"Rua João Azolin, 537 - Santa Felicidade",190332,"-25,411789982062","-49,328582764811",37,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13389,"Rua Antônio Escorsin, 1001 - Santa Felicidade",190341,"-25,414694761108","-49,339888275808",29,,Terminal Santa Felicidade,Novo mobiliário,13294,817
13390,"Rua Tobias de Macedo Júnior, 75 - Santo Inácio",190014,"-25,429956708703","-49,322841078539",40,,Terminal Campina do Siqueira,Domus,13293,817
13391,"Rua Via Veneto, 1081 - Santa Felicidade",190326,"-25,402222371082","-49,327748597807",2,,Terminal Campina do Siqueira,Novo mobiliário,13293,817
13392,"Rua Luís Sperândio, 471 - Santo Inácio",190132,"-25,426226245365","-49,346115364418",21,,Terminal Santa Felicidade,Placa em cano,13294,817
13393,Terminal Santa Felicidade - 918 - Veneza,106016,"-25,400716478181","-49,330594633153",43,14510,Terminal Santa Felicidade,Plataforma,13294,817
13394,"Rua Tobias de Macedo Júnior, 311 - Santo Inácio",190016,"-25,429380931878","-49,32472046627",39,,Terminal Campina do Siqueira,Domus,13293,817
13395,"Estrada da Miná do Ouro, 732 - Santo Inácio",190113,"-25,426041136785","-49,338669271164",32,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13396,"Rua Paulo de Deus Bessa, 620 - Santo Inácio",190115,"-25,425746941862","-49,340169256737",31,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13397,"Rua Benjamin Cavet, 78 - São Braz",190133,"-25,423634534757","-49,347386472387",22,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13398,"Rua João Azolin, 844 - Santa Felicidade",190785,"-25,412181247037","-49,331315935797",8,,Terminal Campina do Siqueira,Placa em cano,13293,817
13399,"Rua Tobias de Macedo Júnior, 1721 - Santo Inácio",190111,"-25,42837","-49,337112449074",33,,Terminal Campina do Siqueira,Domus,13293,817
13400,"Marginal Rodovia BR- 277, 1 - Santo Inácio",190004,"-25,430392549079","-49,317373206186",3,,Terminal Santa Felicidade,Concreto,13294,817
13401,"Rua Tobias de Macedo Júnior, 763 - Santo Inácio",190102,"-25,42732","-49,32741",6,,Terminal Santa Felicidade,Placa em cano,13294,817
13402,"Rua Tobias de Macedo Júnior, 1217 - Santo Inácio",190106,"-25,427000900763","-49,331544926424",8,,Terminal Santa Felicidade,Sem demarcação,13294,817
13403,"Rua Julieta Zilioto, 431 - Santo Inácio",190118,"-25,42584","-49,34295",15,,Terminal Santa Felicidade,Placa em poste,13294,817
13404,"Rua José Risseto, 413 - Santa Felicidade",190335,"-25,411236394465","-49,333155931181",35,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13405,"Rua Carlos Chagas, 662 - São Braz",190793,"-25,41903120679","-49,343591065353",26,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13406,"R. Carlos Chagas, 4 - São Braz",190999,"-25,417695140906","-49,344048258245",27,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13407,"Rua Magdalena Chagas Lima, 368- São Braz",190137,"-25,420769695538","-49,345966369635",20,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13408,"Rua Albino Potulski, 47 - Santo Inácio",190120,"-25,426671241634","-49,342872449074",29,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13409,"Rua Maria Guebur, 216 - Santo Inácio",190121,"-25,428047577629","-49,34161842576",28,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13410,"Rua Via Veneto, 221 - Santa Felicidade",190780,"-25,406810025008","-49,323371232695",4,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13411,"Rua José Risseto, 752 - Santa Felicidade",190786,"-25,40931638278","-49,335002632088",10,,Terminal Campina do Siqueira,Sem demarcação,13293,817
13412,"Rua Carlos Chagas, 661 - São Braz",190792,"-25,41906269996","-49,343698353714",18,,Terminal Campina do Siqueira,Placa em poste,13293,817
13413,"Rua Via Veneto, 504 - Santa Felicidade",190237,"-25,404922651143","-49,324508489317",41,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13414,"Rua José Tomasi, 255 - Santa Felicidade",190338,"-25,410481299883","-49,340337545818",31,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13415,"Rua José Tomasi, 467 - São Braz",190998,"-25,412574530129","-49,339740701376",30,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13416,"Rua Paulo de Deus Bessa, 357 - Santo Inácio",190117,"-25,425634224193","-49,342727084656",30,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13417,"Rua Magdalena Chagas Lima, 516 - São Braz",190135,"-25,422114253817","-49,346438163195",21,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13418,"Rua Nicolau José Gravina, 1961- Cascatinha",190330,"-25,410097716144","-49,323270649857",5,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13419,"Rua José Risseto, 482 - Santa Felicidade",190334,"-25,411107990851","-49,333119721359",9,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13420,"Rua José Tomasi, 484 - Santa Felicidade",190789,"-25,412765113772","-49,33982926721",14,,Terminal Campina do Siqueira,Placa em cano,13293,817
13421,"Rua José Tomasi, 291 - Santa Felicidade",190788,"-25,410942860422","-49,340363050464",13,,Terminal Campina do Siqueira,Placa em cano,13293,817
13422,"Rua João Azolin, 273 - Santa Felicidade",190331,"-25,411330880055","-49,325525046534",38,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13423,"R. Alfredo Scorsin, 59 - São Braz",190994,"-25,420426699259","-49,343722976919",25,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13424,"R. Magdalena Chagas Lima, 342 - São Braz",190995,"-25,42070106551","-49,34591958392",24,,Terminal Santa Felicidade,Chapéu chinês,13294,817
13425,Marginal Rodovia BR- 277,190199,"-25,431003976097","-49,316830961971",41,,Terminal Campina do Siqueira,Concreto,13293,817
13426,"Rua Engenheiro Serafim Voloschen, 80 - Campina do Siqueira",190012,"-25,43467","-49,31044",43,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13427,"Rua Capitão Domingos Castelano, 2 - Santo Inácio",190123,"-25,429627522714","-49,34122599169",27,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13428,"Rua Luís Sperândio, 173 - Santo Inácio",190129,"-25,428161801317","-49,34648317791",24,,Terminal Campina do Siqueira,Domus,13293,817
13429,Terminal Santa Felicidade - 918 - Veneza,106016,"-25,400716478181","-49,330594633153",1,14510,Terminal Campina do Siqueira,Plataforma,13293,817
13430,"Rua Carlos Chagas, 797 - São Braz",190790,"-25,417472284637","-49,34426832313",17,,Terminal Campina do Siqueira,Placa em cano,13293,817
13431,"Rua Tobias de Macedo Júnior, 1636 - Santo Inácio",190109,"-25,427115435091","-49,335556588955",34,,Terminal Campina do Siqueira,Domus,13293,817
13432,"Rua Tobias de Macedo Júnior, 937 - Santo Inácio",191001,"-25,427262066016","-49,32876845836",37,,Terminal Campina do Siqueira,Chapéu chinês,13293,817
13433,"Rua Tobias de Macedo Júnior, 310 - Santo Inácio",190015,"-25,429353354215","-49,324594139881",5,,Terminal Santa Felicidade,Chapéu chinês,13294,817
