,COD,REFRESH,LAT,LON,CODIGOLINHA,ADAPT,TIPO_VEIC,TABELA,SITUACAO,SITUACAO2,SENT,TCOUNT
BI852,BI852,17:15,-25.408601,-49.291908,166,1,7,2,ATRASADO,FORA DA ROTA,VOLTA,1
GI010,GI010,17:17,-25.480745,-49.197378,463,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GC948,GC948,17:17,-25.432791,-49.270273,463,1,7,2,ADIANTADO,REALIZANDO ROTA,IDA,1
GL345,GL345,17:17,-25.44273,-49.26827,506,0,3,4,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GL347,GL347,17:17,-25.496953,-49.276361,506,0,3,6,NO HORÁRIO,REALIZANDO ROTA,IDA,1
EL318,EL318,17:11,-25.54211,-49.270891,506,1,3,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
GL340,GL340,17:15,-25.527813,-49.269091,506,0,3,3,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI628,HI628,17:17,-25.57624,-49.331213,684,1,4,5,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI621,HI621,17:17,-25.579776,-49.334675,684,1,4,4,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HI623,HI623,17:17,-25.522963,-49.292716,684,1,4,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
EI015,EI015,17:13,-25.52677,-49.239363,532,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
PC940,PC940,17:17,-25.43421,-49.271135,560,1,7,1,ADIANTADO,TIPO INCOMPATIVEL,IDA,1
HI032,HI032,17:17,-25.495178,-49.337961,712,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI875,BI875,17:17,-25.435191,-49.351155,822,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
PL310,PL310,17:17,-25.440408,-49.220903,304,0,3,3,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JL334,JL334,17:16,-25.437636,-49.335841,304,0,3,6,ATRASADO,REALIZANDO ROTA,IDA,1
JL331,JL331,17:15,-25.441476,-49.344905,304,0,3,10,ADIANTADO,REALIZANDO ROTA,IDA,1
EI012,EI012,17:17,-25.497946,-49.232406,523,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI005,GI005,17:15,-25.53061,-49.256225,545,1,1,3,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JC314,JC314,17:17,-25.544996,-49.303258,545,1,3,4,NO HORÁRIO,REALIZANDO ROTA,IDA,1
KA604,KA604,17:17,-25.537211,-49.27554,545,1,4,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JI605,JI605,17:17,-25.49048,-49.333468,545,1,4,5,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI850,HI850,17:17,-25.504353,-49.316938,628,1,7,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
